author,250-499,500-749,750-999,<250,>=1000
Brian Sibley,0,0,0,4,0
Brian Tracy,0,0,0,1,0
Brigid Avison,0,0,0,1,0
Broughton Coburn,1,0,0,0,0
Bruce Alvin King,0,0,0,1,0
Bruce Arnold,1,0,0,0,0
Bruce Campbell,1,0,0,0,0
Bruce Catton,0,2,0,0,0
Bruce Coville,0,0,0,2,0
Bruce Cumings,0,1,0,0,0
Bruce Edward Walker,0,0,0,1,0
Bruce Feiler,1,0,0,0,0
Bruce H. Wilkinson,0,0,0,1,0
Bruce L. Edwards,0,0,0,0,1
Bruce Patton,1,0,0,0,0
Bruce Spizer,1,0,0,0,0
Bryan Lee O'Malley,0,0,0,1,0
Bryan Magee,2,0,0,1,0
Bryan Sykes,2,0,0,0,0
Bryce Courtenay,1,3,1,0,0
Burton G. Malkiel,2,0,0,0,0
Buzz Bissinger,1,0,0,0,0
C. Hassell Bullock,1,0,0,0,0
C.D. Payne,0,2,0,0,0
C.D.B. Bryan,0,1,0,0,0
C.E. Murphy,2,0,0,0,0
C.G. Jung,1,0,0,0,0
C.S. Friedman,4,3,0,0,0
C.S. Harris,1,0,0,0,0
C.S. Lewis,0,2,2,27,2
CLAMP,0,0,0,17,0
Cait London,3,0,0,1,0
Caitlin Brennan,1,0,0,0,0
Caleb Carr,1,0,0,0,0
Camellia Panjabi,0,0,0,1,0
Candace Bushnell,2,1,0,0,0
Candace Schuler,0,0,0,1,0
Candace Ward,0,0,0,2,0
Candida Höfer,1,0,0,0,0
Cara Black,1,0,0,0,0
Carl Hiaasen,12,0,0,3,0
Carl Plasa,0,0,0,1,0
Carl Safina,1,0,0,0,0
Carl Sagan,2,0,0,0,0
Carl Senna,0,0,0,1,0
Carl Zimmer,0,0,0,1,0
Carla Lynn Stockton,0,0,0,1,0
Carlene Fredericka Brennen,0,0,0,1,0
Carlos A. Schwantes,1,0,0,0,0
Carlos Castañeda,8,0,0,0,0
Carlos Marighella,0,0,0,1,0
Carlos Ruiz Zafón,2,1,0,1,0
Carlton Mellick III,0,0,0,1,0
Carol Adrienne,1,0,0,0,0
Carol Belanger Grafton,0,0,0,1,0
Carol Dommermuth-Costa,0,0,0,1,0
Carol Drinkwater,1,0,0,0,0
Carol Lee,1,0,0,0,0
Carol Lloyd,1,0,0,0,0
Carol Marinelli,1,0,0,0,0
Carol Ryrie Brink,0,0,0,1,0
Carol Shields,1,0,0,1,0
Carol Stock Kranowitz,2,0,0,0,0
Carole Marsh,0,0,0,3,0
Carole Nelson Douglas,1,0,0,0,0
Caroline B. Cooney,2,0,0,4,0
Caroline Preston,1,0,0,0,0
Caroline Sharp,0,0,0,1,0
Carolly Erickson,1,0,0,0,0
Carolyn Brown,0,0,0,1,0
Carolyn Haywood,0,0,0,1,0
Carolyn Keene,0,1,0,6,0
Carolyn Meyer,2,0,0,4,0
Carolyn Strom Collins,0,0,0,1,0
Carrie Vaughn,3,0,0,0,0
Carroll John Daly,3,0,0,0,0
Carson McCullers,2,0,0,0,0
Casey Loe,1,0,0,0,0
Catharine M. Fishel,0,0,0,1,0
Catherine Coulter,5,1,0,0,0
Catherine Gilbert Murdock,1,0,0,0,0
Catherine Hapka,0,0,0,2,0
Catherine Marshall,1,0,0,0,0
Catherine Nichols,0,0,0,1,0
Catherine Osborne,0,0,0,1,0
Catherine Thimmesh,0,0,0,1,0
Catherine de Zegher,1,0,0,0,0
Cecelia Ahern,3,0,0,0,0
Cecil Adams,2,0,0,0,0
Cecily von Ziegesar,0,0,0,5,0
Celeste Bradley,2,0,0,0,0
Celeste Davidson Mannis,0,0,0,1,0
Cesare Beccaria,0,0,0,1,0
Chad Oliver,0,0,0,2,0
Chaim Potok,5,0,0,0,0
Chalmers Johnson,1,0,0,0,0
Chanrithy Him,1,0,0,0,0
Charlaine Harris,0,0,0,3,0
Charles  Green,0,0,0,1,0
Charles A. Coulombe,1,0,0,0,0
Charles A. Peek,0,0,0,1,0
Charles Allen,1,0,0,0,0
Charles Baudelaire,2,0,0,3,0
Charles Boyce,0,0,1,0,0
Charles Bukowski,4,0,0,4,0
Charles Burns,1,0,0,4,0
Charles C. Mann,0,1,0,0,0
Charles Darwin,1,2,0,1,1
Charles Dickens,14,3,6,4,3
Charles Frazier,3,0,0,0,0
Charles J. Sykes,1,0,0,0,0
Charles John Cutcliffe Wright Hyne,1,0,0,0,0
Charles Kingsley,0,0,0,1,0
Charles Lamb,2,0,0,0,0
Charles Lockwood,0,0,0,1,0
Charles Mackay,0,1,0,0,0
Charles Osborne,1,0,0,0,0
Charles P. Rubenstein,0,0,0,1,0
Charles Petzold,1,0,0,0,0
Charles R. Miller,1,0,0,0,0
Charles R. Swindoll,2,0,0,0,0
Charles Rembar,0,1,0,0,0
Charles Segal,1,0,0,0,0
Charles Seife,0,0,0,1,0
